S/N,Date,Tweets
224,16-3-2023,"
Dear Lagosians!
Let’s Come out on saturday March 18th and Vote massively for 
@GRVlagos
 of 
@NgLabour
 #labourparty Eluu P all the way! 🇳🇬✊🏾🇳🇬✊🏾🇳🇬✊🏾"
225,16-3-2023,"
Eluu P all the way come this Saturday 18th of March! ✊🏾🇳🇬LP LP LP LP LP LP LP👍🏾"
226,15-3-2023,"
Well, it’s only greed that would make someone believe this fraudsters! How can someone tell you to pay money to receive money and you believe them!👎🏾"
227,14-3-2023,"
Only greedy people will fall for this fraudsters! It’s crazy 👍🏾👌🏾"
228,14-3-2023,"
They so called Lessoniologist😂🤣😂🤣😂🤣😂🤣"
229,13-3-2023,"
My involvement in politics in this whole election is giving some people seesleepless night and neck pressing!🤣😂🤣 don’t worry election will soon be over!👍🏾"
230,13-3-2023,"
Lol! You wished! Just tonight’s ago in Germany🇩🇪 This my involvement in politics is giving some of you sleepless night and neck pressing!🤣😂🤣 don’t worry election will soon be over!👍🏾"
231,13-3-2023,"
“Gbadebo Rhodes-Vivour doesn’t have experience in corruption”

- Peter Obi"
232,13-3-2023,"
This 2023 election has proven to us that some people have signed a long term deal with Poverty😂🤣it’s done deal for them and here we go! Make una enjoy! Elluu P all the way from Top to Bottom! 
@NgLabour
 LP LP👌🏾"
233,13-3-2023,"
Aswear dis election don humble so many politicians!🤣🤣😂🤣😂ah ahh!"
234,13-3-2023,"
He is Yoruba, No! He is Igbo! No he is actually Hausa! You think you are doing me? Hunger knows no tribe! Hope as a Yoruba guy you are buying bread cheaper? 😂🤣😂🤣😂🤣 Hope you don chop today! Continue! 🤣👌🏾🥰 https://x.com/iambanjymii/st/iambanjymii/status/1635094577928613889"
235,13-3-2023,"
Well, not for me! I Dey alright 💯and I hope the rest are?🤣 Elluu P! LP LP LP👌🏾👍🏾"
236,12-3-2023,"
Omo Ellu P is another movement on its own..

A sub-division of Obidient Movement.

When in trouble just shout ELLU P!... Your helper will locate you 😂😂"
237,12-3-2023,"
Now no be OBIdient Dey pepper dem again! Not even “Go and Verify” Na Elluu P🤣😂🤣😂😂 Chai! Peter Obi supporters una do so one!😂🤣😂"
238,9-3-2023,"
All I can say is NIGERIAN YOUTH!!! Keep pushing!! Victory is at the doorstep. What you might presume as a loss; as a result of the election outcome is actually a victory, however little. These people now realize, that it is no longer business as usual. We r winning 💯✊🏾🇳🇬✊🏾🇳🇬"
239,8-3-2023,"
This 2 didn't get the memo! Nobody told them that Peter obi is here to close their shops! 😂🤣😂"
240,8-3-2023,"
I am an lgbo man married to a Yoruba woman! Igbos do not hate Yorubas.
Neither do Yorubas hate Igbos.
Politicians are using tribe as an excuse to cover their evil
They dont like you whether Igbo or Yoruba.
They only care about their pockets. Be wiser."
241,8-3-2023,"
My President, 
We've heard you loud and clear.....
It's imperative that we do as you've said.
We are praying for the Obis, the Dattis, and all obidients across the globe.
We remain,
ObiDattis.
Eeellluuu Ppppeeeee
Top toh bottom.
#VotePDAPCOut"
242,7-3-2023,"LP, ELLU P all the way come this Saturday 11th of March🇳🇬✊🏾🇳🇬✊🏾✔️
@NgLabour"
243,1-3-2023,"
Dear H.E 
@PeterObi
 your mandate can only be delayed, but cannot be denied. ✊🏾🇳🇬✊🏾🇳🇬✊🏾
Please, my fellow obedient, be calm, we live to fight another day, so please embrace peace.
Let's all allow the right people of the law to handle the case.
Thank you Nigerians💚 #INECIsCorrupt"
244,25-2-2023,Don’t be deceived Nigerians. We the Nigerian citizens are the real structure! There own structure is the structure of criminality! PETER OBI is coming …👌🏾🇳🇬👌🏾🙏🏽🙏🏽
245,25-2-2023,And NIGERIANS are still winning irrespective of all attempts! 🤣😂🤣😂I swear if e sure for them make dem leave am Free and Fair🤣😂🤣😂PETER OBI is coming …🇳🇬✊🏾
246,25-2-2023,"@NgLabour
 OETER OBI won all polling units in my estate ☺️We delivered👌🏾 Make sure you protect your vote✊🏾 
@PeterObi
 is Coming…✊🏾🇳🇬"
247,25-2-2023,Nigerians are winning!🇳🇬✊🏾
248,25-2-2023,"
Dem even say dem go teach me lesson today! 😂🤣😂🤣 It is well😂"
249,24-2-2023,"
BECOME A WHISTLEBLOWER AT YOUR POLLING UNITS*

Disclose anyone with politician money to shared at your polling units to EFCC or polling units Marshalls.

Politics is not a career nor occupation, but a vocation. 

Politics isn't a business venture or a quick way of making money.✊🏾"
250,22-2-2023,"
Under APC WATCH!😶
Because it doesn't affect your family, you're here still supporting APC. It will reach you one day. ""You shall reap whatsoever you sow. #PeterObi4President"
251,22-2-2023,"
Anybody voting for APC is heartless!👎🏾"
252,22-2-2023,"
My dear River State/Portharcourt people! This are your enemies at work! Watch carefully they said they are are doing it for there own selfish interests! The only way you can disappoint this people here is by taking  your anger to the polling unit and Vote for 
@PeterObi
 of LP."
253,22-2-2023,"
They know the truth!"
254,20-2-2023,"
If you think i am supporting PETER OBI because he is Igbo, try replacing him with Yemi Osibanjo against Orji Uzo Kalu and see if myself and Igbos won’t massively vote for Yemi Osibanjo.✅ #VotePeterObiForPresident2023"
255,20-2-2023,"
No mind them!😂🤣"
256,20-2-2023,"
Shit!🤭"
257,20-2-2023,"
Where dem Dey? 
I mean the people wey wan teach me lessons in 5days time.🤣😂🤣😂Abi dey one way dem don teach us for nearly 8yrs we no survive am? Empty shameless threats🤣😂🤣 Election will soon be over and we go dey alright last last! Na we Dey here! 😎 We full ground! 😉👌🏾👍🏾"
258,20-2-2023,"
If the APC Governors fight other issues the way they fight this naira policy, Nigeria would’ve been a better place, but no! Dear Nigerians done be deceived! They are fighting for there own selfish reason and agenda! Simple! 
Let’s Vote them out this Saturday! Enough is enough👎🏾🤮"
259,,"
APC Governors should stop using “Poor masses” as an excuse and tell President Buhari the truth that they stashed money in higher denominations and they will turn to tissue papers if he insist this policy. 🤮👎🏾Dear Nigerians pls SAY NO TO VOTE BUYING! 👍🏾 Vote LP LP LP."
260,20-2-2023,"
Dear APC Governors,
We the Nigerian people are not complaining about the policy. As a matter of fact we are so used to the hardship APC has brought upon us. We actually stand with Buhari and Emefiele on this one. We still have N50, N100 and N200 Note in circulations! Desperados👎🏾"
261,20-2-2023,"
Dear APC Governors,
Are u telling us that hardship started in Nigeria when CBN redesigned the Naira?
The same APC that has put over 133 million Nigerians in multidimensional poverty in its 8 years. It’s just 5 days to elections. What’s with the desperation? We know the truth! 👎🏾"
262,20-2-2023,"
Suddenly APC Governors are now Crusaders for the poor!🤣😂 #AriseNews"
263,18-2-2023,"
In all of these, where does the vice president of the Federal Republic,  Prof. Yemi Osinbajo stand?🤔"
264,,"
Wahala! There is Fire on the mountain 🏔️"
265,17-2-2023,"
Someone wrote u and said he is Tony Elumelu the CEO of UBA that you should deposit all your money into his bank account, so you will do so without verification? And for that you start blaming the real Bank(UBA)!  Like I said Blame yourself! I do not own a Giveaway platform! Bye"
266,16-2-2023,"
@tunji_salawe
I am sure with all the warnings concerning this fraudsters you didn’t confirm here! After getting scammed you then remembered that I have a verified page! Go swill judge me. It’s only greed that will make you to pay money to receive money."
267,16-2-2023,"
Mr Psquare
@PeterPsquare
·
Feb 16, 2023
Dear APC governors, Why are you crying more than the bereaved? Did you stash cash in your houses?🤷🏾‍♂️ E reach to ask! 🤦🏾🤦🏽‍♂️"
268,14-2-2023,"All this propaganda is now old ways!  Print fake membership card, act violent while tearing it to pieces, capture it on camera. Agenda is set.🤣😂🤣😂 
@PeterObi
 has changed the political game! Dead on arrival propaganda! No body is buying into this anymore! E don cast!😂🤣"
269,13-2-2023,"
Someone today trying to explain to the DSS that he was just joking with the coup tweet that landed him in trouble. Who is that someone pls ?"
270,13-2-2023,"
Another one! 
ALEX EKUBO is OBIdient ✊🏾 They have started coming out! 
@PeterObi
 is coming…"
271,13-2-2023,"
OBIDIENT SUPER STAR ⭐️ 💯
With my full chest!💘 Na we dey here! We no dey sit for fence! We must get it right this time by the special grace of God! 
@PeterObi
 is coming….✊🏾"
272,13-2-2023,"
Remember this image as we get closer to 25th Feb. 2023 , don’t forget this.. think of the next 8years and what it will bring if we get it wrong again. #NigeriaDecides2023 #PeterObiForPresident2023"
273,13-2-2023,"
Reject APC and PDP. Vote LP"
274,13-2-2023,"
UNDER APC WATCH DIFFERENT ANIMALS SWALLOWED MONEY!🤮👎🏾 Vote them out by Voting 
@PeterObi
 of 
@NgLabour
 LP LP LP👌🏾✊🏾A new Nigeria POssible🙌🏾"
275,13-2-2023,"
Under APC watch. Don't forget."
276,13-2-2023,"
This 2023 is Nigerian turn and time to recover! Let us keep our faith toward our Mission strong. Let us take back Nigeria from this criminals. #VotePeterObiForPresident2023"
277,13-2-2023,"
My dear fellow #Obidients Good morning to every one of you, I just want to encourage all of us this morning. Let us know that at this dying minutes there will be a lot of oppressions,intimidation,name calling,fake news about our 
@PeterObi
 But,my people,we will overcome them all."
278,13-2-2023,"
Yes I am! Nigeria is the car that needs to be fixed!👌🏾So I am one the mechanics!👌🏾😊🔧🛠️🗜️🧰🔩⚙️"
279,12-2-2023,"
dear PDAPC this desperation is becoming so obvious and irritating! 🤮👎🏾 Try harder next time."
280,,"
We will never forget! 🤮🤮🤮🤮🤮"
281,12-2-2023,"
Vote who you can protest against. Vote Freedom of Speech and Freedom after Speech.🤞🏾✊🏾 Vote 
@PeterObi
 of 
@NgLabour"
282,12-2-2023,"
It's time for Nigeria politicians to know that the power belongs to the people.✊🏾👌🏾 
@PeterObi
 is coming.."
283,12-2-2023,"
Before you vote on the 25th... don't forget that this same APC Govt hid cartons of noodles,spaghetti, macaroni,maggi,bags of rice and beans etc....From the same citizens that voted them in 2015/19 when hunger was tearing you apart. 
Vote for 
@PeterObi
 of 
@NgLabour
 LP LP LP LP 👍🏾"
284,12-2-2023,"
The problem of Nigeria can not be covered with an umbrella☂️ «*. Neither can it be swept away with a broom🧹. It needs the labour's of all Nigerians 👨‍👩‍👦 to deal 🤝with! Obedience is the key 🔑 
@PeterObi
 
@NgLabour
 Vote LP LP LP LP LP!"
285,11-2-2023,"
We no Dey pay to hire crowd ? See Organic crowd! We no Dey give shishi but People dey turn up!✊🏾 
@PeterObi
 is coming…. #ObiDattiInLagos VOTE LP Only👌🏾"
286,11-2-2023,"
We Dey here! Who dey zuzu! Una Dey fear for una same Lagos😂🤣😂 Na we Dey here✊🏾"
287,11-2-2023,"
All this Political thugs 4 lagos! I greet una o! Abeg how many OBIdients una wan intimidate 🤣😂🤣😂 fear don day catch una for una same lagos🤣😂Don’t worry 
@PeterObi
 of 
@NgLabour
 is COMING!👌🏾 #ObiDattiInLagos"
288,11-2-2023,"
Damnn.. stop for now! Focus on electing our new President 
@PeterObi"
289,10-2-2023,"
I hear say APC steal crowd image this time 🤣😂🤣😂 Na wa o!🙄"
290,7-2-2023,"
Dude,I understand your frustration. But realize that the sky is big enough for all birds to fly. 
@burnaboy
 and other great artistes have climbed on our great Fela’s ladder to blow. Comport your self and pray to your god. My God has blessed my destiny & i’ll 4ever remain thankful."
291,7-2-2023,"
I’ll surely keep you in my prayers. Learn from your nephew  
@Madekuti
 cos he is well guided and clean."
292,6-2-2023,"
SOON!
Corruption was the Natural disaster until Peter Obi became president come Feb 25, 2023. 😁🤗#PeterObiForPresident2023"
293,6-2-2023,"
Dude just erased his fathers History! You said only the people of Nigeria can save Nigeria! Is PO and the rest candidates not the Nigerian people?…. SHAME! SHAME!! SHAME!!!👎🏾"
294,5-2-2023,"
I am only addressing the people that wants to teach me lesson on the 25th. But if you are against this post! Then you are also one of them! So continue teaching me your baseless Lessons!😂🤣😂🤣"
295,4-2-2023,"
You never chop since two days now but you wan teach me lesson on the 25th February😂😂"
296,5-2-2023,No! I am address people that said they will teach me a Bigger lesson on the 25th. Except you are one of them! 👎🏾
297,5-2-2023,"
Dear Nigerian Politicians!
The only positives image existing in Nigeria today is the Nollywood and Music industry “The entertainment industry as a whole“ If no bi am, na Corruption dem sabi all of una with! We just take style dey cover una Fnck up!👎🏾 Nollywood Actor indeed! SMH"
298,5-2-2023,"
Dear Obideint,
Do not participate in any Protests! Focus all your energy on the campaign and your appointment on February 25th. On the ballot paper, select the LP  and the candidate, Peter Obi. Do not losing focus!"
299,5-2-2023,"
Dear Obideint pls stay away from this PROTEST!"
300,5-2-2023,"
Dem never tell una say the OKOYES na business men with so many incomes?😂🤣😂🤣"
301,5-2-2023,"
You wan teach me lesson on the 25th with that your empty stomach🤣😂🤣😂 We are Voting PETER OBI. Period! APC is pure failure🤮🤮🤮👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾"
302,4-2-2023,"
Abeg Dey ones way teach Jonathan lessons since 2015 how far with there life? Na me and my twin brother una wan teach lesson dis time! 😂🤣😂 Empty threats🤧"
303,4-2-2023,"
Dem want teach who God don bless lesson!😹😹😹 SMH🤦🏽‍♂️"
304,4-2-2023,"
Someone asked if I have joined politics! I don’t have to join politics to speak up for the masses! I am still a professional successful musician who has fans and friends that are going through a lot because of bad and corrupt government in Nigeria!"
305,4-2-2023,"
Non of the APC governors fought for the poor masses all this while but all of a sudden their love for the poor masses became unmeasurable. Vulture na Vulture🤮👎🏾"
306,4-2-2023,"
Just to remind you that PDAPC don’t care about you. Use your head and vote wisely else your great grand children might have to beg for food. Vote 
@PeterObi
 of 
@NgLabour"
307,4-2-2023,"
So APC PCC members have started threatening a sitting president 😂😂😂😂 they said we are wailers for 8yrs and guess who is wailing now ?? 🫣"
308,4-2-2023,"
Why is this man threatening our president 
@MBuhari
 …He has no respect and we Nigerians needs to call him to order… Crying because there wouldn't be money to buy elections. Struggling to separate Buhari from APC. 
The audacity to threaten a sitting president. What a shame!👎🏾"
309,4-2-2023,"
Absolutely nothing working under APC… Pure failure👎🏾🤮🤮🤮"
310,4-2-2023,"
There’s fire on the mountain! Its getting more interesting.....🤣😂🤣😂😂😂😂😂 Cry! Cry!! Cry again😂🤣"
311,3-2-2023,"
Twitter ban - No APC Governors.
High inflation,- No APC Governors
Kidnapping,- No APC Governors
Killings,- No APC Governors
Fuel scarcity,- No APC Governors.

APC Governors can only appear when their interest is threatened. Dear Nigerians, APC is pure failure! Pls Vote 
@PeterObi"
312,3-2-2023,"Dear Nigerians,
It is time for us to Make it right by sending a clear message to this old politicians that it is the Nigerian peoples Turn! Otherwise they will continue making it their birth right! We are smarter now and we are voting wisely for 
@PeterObi
 of 
@NgLabour
 LP LP LP"
313,3-2-2023,"
Dear Nigerians,
On the 25th February Nigerian Youths will set the record and order straight to this old politicians that Enough is Enough! We will retire all of them by voting the People’s Choice 👉🏽 
@PeterObi
 of 
@NgLabour
 #PeterObi4President2023 LP LP LP"
314,3-2-2023,"
Dear Nigerians,
Other African counties are praying and hoping that Nigeria(the largest melanin country)
gets it right this time and vote Peter Obi, and truly be ""THE GIANT OF AFRICA"" and lead the way to rescuing Africa! We should not disappoint them. Vote 
@PeterObi
 of 
@NgLabour"
315,3-2-2023,"
Dear Nigerians, 
I have travelled around the globe performing! And i can comfortably say we are already the most hated black country in the world and we can’t afford to have another embarrassing calamity to represent us in the world stage pls vote for 
@PeterObi
 to avoid all that."
316,3-2-2023,"
APC Dey teach dem bigger Lesson already😂🤣 Wahala!"
317,3-2-2023,"
Have y’all noticed they are crying hard because there rigging machine has been destroyed😂🤣 
… And they still want to teach me and you lesson! Smh🫣🫣"
318,1-2-2023,"
Se as person papa wear agbada come dey embarrass him self for Channels TV🤮 APC is a pure failure!👎🏾"
319,1-2-2023,"
Some one is just blabbing and lying on channels Tv🤣😂 Bad product is really difficult to market!🤮"
320,1-2-2023,"
All well meaning Nigerians yearning for true and positive change are Voting Peter Obi of Labour Party. Continue to share this.. This is our month of victory!! 
@PeterObi
 
@NgLabour
 

Nnewi, Emefiele, Mubi, Buhari and APC, Onitsha, Asiwaju, El Rufai, Benin, Mu-Mu"
321,1-2-2023,"
It has been 10 months since PETER OBI obeyed the call of ordinary Nigerians to vie for the Presidency to help salvage NIGERIA. This tweet is in appreciation of 
@PeterObi
 for his obvious love, commitment and sacrifices for the Nigerian People.
VOTE PETER OBI of the LABOUR PARTY."
322,31-1-2023,"
Who is watching APC disgracing themselves on TVC in Calabar?😂🤣😂🤣😂🤣😂🤣😂🤣😂😂😂"
323,31-1-2023,"
Dear OBIdients Wike or no Wike!Obidient movement is bigger than anybody, even bigger than Peter Obi. #PeterObi4President2023"
324,31-1-2023,"
In Nigeria! Minister of health go abroad for medical treatment!🤔😏
Enough of “Vote Wisley” We are Voting 
@PeterObi
 of the 
@NgLabour"
325,31-1-2023,"
So some people will leave their houses this morning to queue for fuel at N400 per litre, buy gas at N800 per kg, buy rice at 38k per bag and still come online in the evening to defend APC. I wonder what motivates dem. #VotePeterObiForPresident2023"
326,31-1-2023,"
We all agree that President Buhari and the APC has performed badly but we do not subscribe to humiliating the president or office of the president. This is totally condemnable!👎🏾"
327,30-1-2023,"
So e reach money matter our Reps begin dey threat🤣
During Endsars , fuel cost & scarcity, Minimum wage & Asuu strike dem no ginger like dis! Believe it or not all this their ginger now on dis new Naira note is for their selfish interest. Buhari and CBN dey press their neck🤣"
328,30-1-2023,"
Aside vote buying I dont see how this new naira notes will frustrate the elections. PDAPC are frustrated! Thank you CBN. 👌🏾"
329,30-1-2023,"
Again Senate will never ever support anything that will be beneficial for citizens, APC & PDP  know this is all to buy vote. Nigerians let's support CBN on this."
330,29-1-2023,"
You dey for filling station queue dey shout “I go teach PETER OBI supporters and PSQUARE lesson next month election”🤣😂🤣😂 And you are still complaining “WHAT TYPE OF COUNTRY IS THIS?” 😂🤣😂 not knowing that APC DON DEY TEACH YOU LESSON BEFORE NEXT MONTH REACH😂🤣 it is well."
331,29-1-2023,"
If you are born poor its not your mistake, But if you die poor its your mistake."
332,29-1-2023,"
All you said here is RUBBISH!👎🏾"
333,28-1-2023,"
I suppose to add SAVAGE for my Solo name! Wanlahi! Mr P Savage 👌🏾🤣😂😅"
334,28-1-2023,"
This is somewhere in this same world🌎
Africans prefer to be in abject poverty and just be content with the fact that a member of their ethnic group is in power. Your politicians and their children will use your tax pay money and explore this countries. Get sense or suffer more😏"
335,28-1-2023,"
I have said enough! Only greed and selfishness would make you fall for it! 👎🏾"
336,28-1-2023,"
If dem get liver, If E sure for your candidate make him make this statement. PO still remains the best candidate for next month election, the man with unquestionable character, Nigeria deserves the best this time around. Vote PO for a new Nigeria. 
@PeterObi
 
@NgLabour"
337,28-1-2023,"
They are laughing at themselves😂🤣😂 PO and Nigeria is winning💯! Because It is the turn of Nigerian citizens✊🏾#PeterObi4President2023"
338,28-1-2023,"
Nothing but the truth 👌🏾💯"
339,28-1-2023,"
Pure leader with Humility indeed 🙏🏽☺️ incoming president☺️✊🏾
@PeterObi
 of 
@NgLabour"
340,27-1-2023,"
And when i and my twin brother said this few days ago, we were insulted & abused by some APC supporters!…. smh 🤦‍♀️ 
It is well, We must get it right this time around! Because it is the turn of Nigeria Citizens🇳🇬✊🏾🗳️ 
@PeterObi
 of 
@NgLabour
 is Coming☺️👨‍👩‍👦"
341,27-1-2023,"
I’m glad that Obidients are changing the political landscape of Nigeria and showing that politics can be done differently. Another game changer for this historic movement is the introduction of the Townhall App by the ObiDatti campaign. "
342,26-1-2023,"
Bulabas🫣"
343,26-1-2023,"
APC calling for revolution under APC govt 🤣🤣🤣🤣 Which kind juju be this ?"
344,26-1-2023,"
Wait o! APC Vs APC! Interesting times are ahead!🤮
Wahala! Wahala!! Wahala!!!"
345,26-1-2023,"
Abeg when bullion van go miss road enter my house?😏😒"
346,26-1-2023,"
The way this old men lie because of money you wonder what they will tell there Children! They think Nigerians are dumb!🤮 them no rate  us at all! Shame on APC.👎🏾"
347,25-1-2023,"
Go and look for the person! It’s not me! Bye! I thought they said Nigerians are smarter! Shame👎🏾🤮"
348,25-1-2023,"
APC Failure! Failure!! Failure!!! 👎🏾🤮"
349,25-1-2023,"
In the last 7yrs Plus, APC failed to speak against their party or Buhari despite the fact that Nigerians expected them to speak due to their bad policies and failure!.. it Must be really difficult to market a bad product!🤮"
350,25-1-2023,"
Armed Robbers came to ur house to rob you of all ur valuables without covering his face which you have marked, the next few weeks he came to you to preach salvation, winning soul for christ as a disguise. What will you do to him?

A short story of APC coming back to hunt us again"
351,25-1-2023,"
You should sit your parent down and educate them about their choice for the presidency
Fuel is 330 now!😬🤐
An Oil producing country!😪

#PeterObi4President2023"
352,25-1-2023,"
If you love yourself, your families, friends and associates, in-fact if you love and believe in Nigeria Vote 
@PeterObi
 of 
@NgLabour
 come 25/02/2023. I will do exactly same."
353,25-1-2023,"
APC should be going house to house to apologize to Nigerians and not campaigning!😏🤮"
354,25-1-2023,"
What is APC Campaigning for? 
I see no reason APC should still be running for any office 2023 Election! APC coming to rescue APC? Like how?🤮"
355,25-1-2023,"
APC and its Government are Total Failure 😞 👎🏾
They are assuring us a better Nigeria. If they have what it takes to make Nigeria better, why didn't they provide those ideas with there party in power presently? Why wait till another election! We are wiser now! This is unacceptable"
356,24-1-2023,"
Correction! 
The issue is how many Nigerians have been plunged into poverty because of APC Government incapacity! Shame!👎🏾"
357,25-1-2023,"
There’s an update coming up between today and tomorrow! Pls bare with us!🙏🏽"
358,24-1-2023,"
APC 👉🏽 F9🤮👎🏾 100% FAILED👎🏾"
359,24-1-2023,"
I do not and never owned aany Giveaway platform! They are at there own risk👎🏾"
360,21-1-2023,"
APC supporters should be buying fuel for N50 per liter now!🚶‍♀️🚶‍♂️🚶🚷How una see am? 🤷🏾‍♂️"
361,21-1-2023,"
APC supporters should be buying fuel for N50 per liter now!🚶‍♀️🚶‍♂️🚶🚷How una see am? 🤷🏾‍♂️"
362,21-1-2023,"
Why are they afraid of BVAS?🤣😂🤣🤣😂🤣"
363,21-1-2023,"
Defeated 25yrs ago😂🤣"
364,21-1-2023,"
They are afraid!😂🤣 They know they have been buying crowds….. knowing fully well that 
@PeterObi
 Crowd is organic! They want to rig😂🤣😂🤣 BVAS or nothing 🤪"
365,20-1-2023,"
“We voted umbrella, it leaked. We voted broom, they swept us away, now it’s time to vote human beings - Mama, Papa, Pikin”. Peter Obi on AY Live!"
366,18-1-2023,"
We will never forget! Vote them out or continue suffering! Let’s us all VOTE for 
@PeterObi
 OF 
@NgLabour
 ✊🏾"
367,18-1-2023,"
Dear Nigerian citizens! It’s our turn through #ObiDatti They all know is no longer business as usual! It is 
@PeterObi
 of 
@NgLabour"
368,17-1-2023,"
“The boldness to keep saying I didn't steal public fund while in office is one of the reasons I will vote for Obi. If he did, we know they would have come for him with all they have. Our national wealth is safe with Peter Gregory Obi.” 
#VotePeterObiForPresident2023"
369,16-1-2023,"
Peter obi is really stingy 🙄🙄🙄🙄 He couldn’t even share the questions 🤔🤔🤔🙄 
@PeterObi
 #PeterObiInChathamHouse"
370,17-1-2023,"
Pls what is Balablu Bulaba?"
371,16-1-2023,"
Keep crying😂🤣😂 We dey Ball 247😂"
372,16-1-2023,"
The difference is clear! 7UP💯👌🏾"
373,16-1-2023,"
@PeterObi
 is really stingy 🙄🙄🙄🙄 He couldn’t even share the questions 🤔🤔🤔🙄 #PeterObiInChathamHouse"
374,16-1-2023,"
@PeterObi
 passion for Nigeria is unmatched. This is the kind of president any country in the world deserves! #PeterObiInChathamHouse"
375,16-1-2023,"
Swear down🤣😂🤣😂💯"
376,13-1-2023,"
Stop Crying! …. 🤣😂🤣😂"
377,14-1-2023,"
Continue crying! This our success is really a pain in da a$$😂🤣😂"
378,13-1-2023,"
Cos e Dey sweet me as e Dey pain dem🤣😂"
379,13-1-2023,"
In a little over 40 days time, You will have the chance to change your country forever or make it continue in the cesspit of dysfunctional turpitude. You have the power in your hands, GET your PVC and Vote!"
380,12-1-2023,"
With 10 million Naira!
I challenge any one to screenshot a tweet where me or my twin insulted a whole region or tribe or even spot any ethnic bigotry statement. We are campaigning strongly for our Candidate without insulting any other candidate. Let’s call a spade a spade!📌"
381,11-1-2023,"
Let it be on record that before the funded organised-crowd-rented rallies , citizens put resources together for Peter Obi rallies.
It was not started by a tribe or in the South East, it was started by Nigerians who  were/are tired of suffering.
VOTE 
@PeterObi
 
@NgLabour
 🗳️🇳🇬✊🏾"
382,11-1-2023,"
Nigeria will be free from bad leadership if we get it right this time  by collecting our PVC and Vote the right candidates! Lets prove to them that power belongs to the people! IT IS THE NIGERIA CITIZENS TURN! Lets not miss this opportunity! Vote 
@PeterObi
 & 
@NgLabour
 🗳️🇳🇬✊🏾"
383,8-1-2023,"
We r outspoken even when our colleagues are silent but we stood with the masses. Fighting for a better Nigeria. You can vote for who ever u like, it doesn't affect us or our music. Our Music today has gone global and selling out concert around the globe. Make una shine una eyes!"
384,8-1-2023,"
An election that concerns 200million Nigerians and 120millions of them living in poverty! And some clowns are telling me to stay away from politics!🤣😂🤣 shey you Dey ma ni?"
385,8-1-2023,"
Ode snap with El Rufai come open teeth like person wey win my Zoom Lottery🤣😂 Do you even know how many millions of people that wished to take pictures with me on a daily? And your own Career is being “El Rufia groopy Clown🤡”Clap for your self👏🏾 Ewu Gambia 🐐"
386,8-1-2023,"
People like this clown still think our music is buying and selling goods! We are Global and International now! We no longer have career! We are Iconic and Legendary! The world recognized us more now! P2 ended for over 6yrs and still came back and No career was ended! Ode! 😂🤣😂"
387,8-1-2023,"Swear down! NIGERIA HAS NEVER HAD IT THIS GOOD! let’s take back our dear country Nigeria🇳🇬 ! We deserve better! Vote 
@PeterObi
 & 
@NgLabour
 only! Cos It’s the Nigerian Citizens turn!👌🏾"
388,8-1-2023,"
Wait o! Just thinking out loud! APC trying to rescue APC! How?🤮😫 like are we that stupid?🤷🏾‍♂️ Dear Nigerian Youths, Let’s take back our dear country and VOTE WISELY! Vote 
@PeterObi
 & 
@NgLabour"
389,7-1-2023,"
Vote wisely 🧠 Nigeria is very sick and very ill already…and for those who decide to be tribal bigots by bringing tribal and ethnicity towards 2023..ask yourselves, where is Nigeria today? how did we get here ? Who are those that put us in these present mess ? Vote wisely 🧠"
390,5-1-2023,"
77 trillion debt?…. Laugh laugh laugh again! Naija make una wake up! Vote wisely! 🤣😂🤣"
391,4-1-2023,"
You better use your brain! It’s still new year. PURE SCAM!"
392,30-12-2022,"
You are trolling me and you still have the guts to send me your account details to help you! To do what exactly with the money? To buy more data to continue trolling me and other people? You will die broke! Idiot! We move! Happy New Broke years in advance! 🤮👎🏾"
393,29-12-2022,"
💰💰💰💰💰💰💰💰💰💰💰💰They know that one! Na waiting dey pain dem! As e Dey sweet us!😂🤣😂"
394,18-12-2022,"
Who are you? Who are you? Who are you? Nobody knows you! Remain unknown!🤪"
395,16-12-2022,"
Una see person dey answer “RUDE BOY” una come get mind dey troll am! Now him don dey feature una for him IG story!🙆🏽‍♂️🤦🏽‍♂️😩😫"
396,7-12-2022,"
Thank you 👍🏾 loud it! They are looking for who to blame for there selfishness and stupidness! 👎🏾"
397,7-12-2022,"
Been bothered! Reported the situation to the authorities and made some arrest and even stopped hosting it every Saturday for the last 2yrs now! But annoying part is that this fraudsters call it Zoom Giveaway” but the victims are the ones giving away there hard earned money! Shame"
398,23-11-2022,"
Person wey never make am the compare people way don’t make am for life! 🤮🫢🫣🤭 Continue Dey measure people Career,wealth and success and liv your own behind! Since you get sense! 😷🤐"
399,23-11-2022,"
What about 
MULTI-LIPICATIONS and BULABA ? Continue trying harder to explain! Una get time aswear😂"
400,23-11-2022,"
Eiya! They are even trying so hard to explain!🤮🤣😂🤣🤣"
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
